source_parser,parser,run,mrd,checkpoint,n_t,n_frontier,gotu_est,rho,blocks_seen,log_err_shallow,zc_rate_shallow,n_blocks_shallow,log_err_medium,zc_rate_medium,n_blocks_medium,log_err_deep,zc_rate_deep,n_blocks_deep
parsera_b,parsera,parsera_run_6,35.82,0.25,24221601,197,0.0,0.8839219099726436,1867,6.1283695826416436,1.0,65,6.114628347485617,0.766780989710926,8164,5.440608459203328,0.1130014326647564,5584
parsera_b,parsera,parsera_run_6,35.82,0.5,48443202,197,0.0,0.8753419547376274,2005,6.429055724390802,1.0,61,6.318615877785023,0.7628891656288916,8030,5.544495928927306,0.1130014326647564,5584
parsera_b,parsera,parsera_run_6,35.82,0.75,72664803,197,0.0,0.871114150708779,2073,6.601468836349997,1.0,60,6.444626609909443,0.7608941353761145,7963,5.623848325925355,0.1130014326647564,5584
parsera_b,parsera,parsera_run_6,35.82,1.0,96886405,197,0.0,0.8656428749067396,2161,6.745221830609327,1.0,55,6.516441476912461,0.7583756345177665,7880,5.6790899353080215,0.1130014326647564,5584
parsera_b,parsera,parsera_run_7,35.82,0.1,9000006,197,0.0,0.889393185774683,1779,5.697808154976788,1.0,60,5.746833949933553,0.7694077752210245,8257,5.280285096889719,0.1130014326647564,5584
parsera_b,parsera,parsera_run_7,35.82,0.25,22500017,197,0.0,0.8790723700571997,1945,6.060105086345293,1.0,56,6.034620773534206,0.764793082149475,8095,5.39572389887363,0.1130014326647564,5584
parsera_b,parsera,parsera_run_7,35.82,0.5,45000034,197,0.0,0.8661402636160159,2153,6.355365358214664,1.0,51,6.186925291473185,0.7587430309173847,7892,5.520598489888287,0.1130014326647564,5584
parsera_b,parsera,parsera_run_7,35.82,0.75,67500051,197,0.0,0.857933349912957,2285,6.5675832663415985,1.0,40,6.261924608771836,0.7549864882254536,7771,5.617246301472123,0.1130014326647564,5584
parsera_b,parsera,parsera_run_7,35.82,1.0,90000069,197,0.0,0.8519646854016414,2381,6.710871146310772,1.0,34,6.326925250697961,0.7521156099466215,7681,5.675552543794403,0.1130014326647564,5584
parsera_b,parsera,parsera_run_8,35.82,0.1,8986455,197,0.0,0.887776672469535,1805,5.731662425651045,1.0,65,5.7537066752335715,0.7685387794796985,8226,5.275339629772173,0.1130014326647564,5584
parsera_b,parsera,parsera_run_8,35.82,0.25,22466138,197,0.0,0.8800671474757523,1929,6.121769626012085,1.0,59,6.035855825831312,0.7651702022693636,8108,5.410820781046739,0.1130014326647564,5584
parsera_b,parsera,parsera_run_8,35.82,0.5,44932276,197,0.0,0.8692489430489928,2103,6.421623657427062,1.0,53,6.204888326097619,0.7602015113350126,7940,5.542924477158883,0.1130014326647564,5584
parsera_b,parsera,parsera_run_8,35.82,0.75,67398414,197,0.0,0.8610420293459339,2235,6.6136011741725875,1.0,46,6.288439653696251,0.7563659628918746,7815,5.628625832737751,0.1130014326647564,5584
parsera_b,parsera,parsera_run_8,35.82,1.0,89864553,197,0.0,0.8530838099975131,2363,6.74238506958924,1.0,45,6.328357455704942,0.7523413111342352,7688,5.687629376589894,0.1130014326647564,5584
parsera_b,parsera,parsera_run_9,35.82,0.1,8214314,197,0.0,0.8850410345685154,1849,5.701987737422007,1.0,68,5.682928819386556,0.7672087052206871,8179,5.239479132130952,0.1130014326647564,5584
parsera_b,parsera,parsera_run_9,35.82,0.25,20535785,197,0.0,0.8780775926386472,1961,6.043433659089056,1.0,64,5.970126425010388,0.764093668690373,8071,5.379254664273707,0.1130014326647564,5584
